
2024/11/23 (19:58:01) | ===> btop++ v.1.4.0
2024/11/23 (19:58:01) | INFO: Logger set to INFO
2024/11/23 (19:58:02) | INFO: Logger set to DEBUG
2024/11/23 (19:58:11) | INFO: Logger set to INFO
2024/11/23 (19:58:13) | INFO: Logger set to DEBUG
2024/11/23 (19:58:14) | INFO: Logger set to INFO
2024/11/23 (20:02:15) | INFO: Quitting! Runtime: 00:06:26

2024/11/23 (20:11:48) | ===> btop++ v.1.4.0
2024/11/23 (20:11:48) | INFO: Logger set to INFO
2024/11/23 (20:11:48) | INFO: Running on /dev/ttys000

2024/11/23 (20:17:18) | ===> btop++ v.1.4.0
2024/11/23 (20:17:18) | INFO: Logger set to INFO
2024/11/23 (20:17:18) | INFO: Running on /dev/ttys000
2024/11/23 (20:18:14) | INFO: Quitting! Runtime: 00:00:56

2024/11/23 (20:18:45) | ===> btop++ v.1.4.0
2024/11/23 (20:18:45) | INFO: Logger set to INFO
2024/11/23 (20:18:45) | INFO: Running on /dev/ttys000

2024/11/23 (20:18:49) | ===> btop++ v.1.4.0
2024/11/23 (20:18:49) | INFO: Logger set to INFO
2024/11/23 (20:18:49) | INFO: Running on /dev/ttys000
2024/11/23 (20:18:50) | INFO: Quitting! Runtime: 00:00:01
